en	meaning_en	example_en
refusal	The indication of being unwilling to do something.	Polite refusal declined unwanted dinner invitation.
regard	Consideration or concern for something.	Mutual regard strengthened professional working relationship.
regime	A government or system of rule.	Military regime controlled country for decades.
regiment	A military unit; to organize strictly; systematic training.	Infantry regiment prepared for overseas deployment.
region	An area or division with definable characteristics.	Mountainous region attracted adventurous hiking enthusiasts.
register	Official list or record; to record formally; cash machine.	Voter register documented eligible citizen names.
registration	The action of recording or enrolling.	Course registration required early online submission.
registry	A place where records are kept; official list; registration office.	Wedding registry contained gift preferences carefully.
regret	A feeling of sadness about something.	Deep regret followed hasty decision making.
regulation	A rule made by an authority.	Safety regulation prevented workplace accidents effectively.
rehabilitation	Process of restoration to normal life; recovery program; restoration.	Drug rehabilitation program restored healthy lifestyle.
rehearsal	A practice performance of a play.	Dress rehearsal prepared cast for opening.
reign	The period during which a monarch rules.	Peaceful reign brought prosperity to kingdom.
reimbursement	Repayment of expenses; compensation; refund of money spent.	Expense reimbursement covered business travel costs.
reindeer	Large deer of Arctic regions; caribou; Christmas animal symbol.	Santa's reindeer delivered presents worldwide magically.
reinforcement	Additional support or strengthening; extra troops; strengthening material.	Steel reinforcement strengthened concrete foundation significantly.
rejection	The dismissing of a proposal or idea.	Job rejection motivated career improvement efforts.
relation	The way in which things are connected.	Family relation traced ancestry back centuries.
relationship	The way two people or groups regard each other.	Healthy relationship required mutual trust daily.
relative	A person connected by blood or marriage.	Distant relative attended family reunion celebration.
relaxation	The state of being free from tension.	Deep relaxation followed stressful workweek successfully.
relay	A race between teams of runners.	Olympic relay broke previous world record.
release	The action of setting someone free.	Prisoner release followed legal appeal victory.
reliance	Dependence on something; trust; confidence in something.	Complete reliance created unhealthy dependency relationship.
relic	Object from the past; remains; historical artifact; remnant.	Ancient relic revealed civilization's cultural practices.
relief	A feeling of reassurance and relaxation.	Immediate relief followed successful surgery completion.
religion	The belief in a superhuman power.	Organized religion provided community spiritual guidance.
relish	Great enjoyment or a condiment.	Spicy relish enhanced hamburger flavor perfectly.
relocation	Movement to new location; the act of moving; transfer.	Job relocation required family lifestyle adjustment.
remain	To stay; what is left; to continue to exist.	Archaeological remain revealed ancient settlement patterns.
remainder	Part left over; what remains; surplus; leftover amount.	Math remainder challenged elementary school students.
